DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
2016-06-17,15599.66,15774.87,15582.94,15631.79,0
2016-06-20,15965.3,16035.44,15835.86,15839.06,0
2016-06-21,16169.11,16202.3,15770.96,15875.81,0
2016-06-22,16065.72,16160.99,15980.65,16095.81,0
2016-06-23,16238.35,16263.87,16057.86,16098.61,0
2016-06-24,14952.02,16389.17,14864.01,16333.87,0
2016-06-27,15309.21,15323.95,15061.66,15153.08,0
2016-06-28,15323.14,15443.82,14987.79,15094.71,0
2016-06-29,15566.83,15626.66,15398.31,15523.35,0
2016-06-30,15575.92,15781.69,15575.92,15752.71,0
2016-07-01,15682.48,15765,15635.57,15698.02,0
2016-07-04,15775.8,15805.31,15553.92,15554.04,0
2016-07-05,15669.33,15702.04,15602.73,15682.16,0
2016-07-06,15378.99,15434.46,15167.98,15434.46,0
2016-07-07,15276.24,15418.9,15241.91,15346.81,0
2016-07-08,15106.98,15399.7,15106.52,15326.84,0
2016-07-11,15708.82,15816.67,15375.94,15375.94,0
2016-07-12,16095.65,16237.62,15956.91,15961.3,0
2016-07-13,16231.43,16444.25,16196.44,16343,0
2016-07-14,16385.89,16398.73,16229.26,16242.2,0
2016-07-15,16497.85,16607.32,16396.12,16396.12,0
2016-07-19,16723.31,16726.71,16514.66,16612.09,0
2016-07-20,16681.89,16692.84,16554.03,16646.92,0
2016-07-21,16810.22,16938.96,16740,16855.18,0
2016-07-22,16627.25,16691.81,16566.98,16612.9,0
2016-07-25,16620.29,16778.65,16612.33,16655.81,0
2016-07-26,16383.04,16535.81,16323.1,16535.81,0
2016-07-27,16664.82,16821.43,16526.06,16526.06,0
2016-07-28,16476.84,16616.28,16450.28,16596.15,0
2016-07-29,16569.27,16679.19,16174.35,16359.68,0
2016-08-01,16635.77,16677.49,16319.15,16415.31,0
2016-08-02,16391.45,16541.88,16391.45,16469.68,0
2016-08-03,16083.11,16275.34,16056.67,16227.28,0
2016-08-04,16254.89,16270.12,15921.04,16168.34,0
2016-08-05,16254.45,16355.98,16230.7,16278.99,0
2016-08-08,16650.57,16652.04,16455.57,16462.29,0
2016-08-09,16764.97,16779.59,16630.56,16632.41,0
2016-08-10,16735.12,16822.86,16657.59,16699.08,0
2016-08-12,16919.92,16943.67,16818.43,16877.18,0
2016-08-15,16869.56,16932.11,16844.58,16866.89,0
2016-08-16,16596.51,16887.57,16596.51,16878.66,0
2016-08-17,16745.64,16772.11,16596.26,16596.26,0
2016-08-18,16486.01,16714.61,16481.41,16649.91,0
2016-08-19,16545.82,16613.04,16452.62,16558.38,0
2016-08-22,16598.19,16631.23,16540.94,16599.26,0
2016-08-23,16497.36,16663.64,16452.01,16549.82,0
2016-08-24,16597.3,16648.07,16544.39,16550.21,0
2016-08-25,16555.95,16628.79,16520.84,16580.15,0
2016-08-26,16360.71,16490.53,16320.43,16485.55,0
2016-08-29,16737.49,16764.64,16616.65,16631.06,0
2016-08-30,16725.36,16752.16,16677.85,16690.98,0
2016-08-31,16887.4,16917.86,16836.96,16857.83,0
2016-09-01,16926.84,16941.18,16864.56,16885.16,0
2016-09-02,16925.68,16946.49,16848.12,16903.78,0
2016-09-05,17037.63,17156.36,17009.21,17131.52,0
2016-09-06,17081.98,17097.59,17022.64,17035.03,0
2016-09-07,17012.44,17024.26,16903.2,16937.38,0
2016-09-08,16958.77,17001.84,16836.65,16984,0
2016-09-09,16965.76,17029.78,16902.09,16994.37,0
2016-09-12,16672.92,16802,16601.54,16748.36,0
2016-09-13,16729.04,16787.06,16658.4,16764.65,0
2016-09-14,16614.24,16706.61,16585.8,16632.06,0
2016-09-15,16405.01,16528.02,16359.78,16512.42,0
2016-09-16,16519.29,16532.84,16415.86,16458.74,0
2016-09-20,16492.15,16591.7,16403.22,16403.22,0
2016-09-21,16807.62,16823.63,16399.65,16471.85,0
2016-09-23,16754.02,16808.59,16725.53,16759.84,0
2016-09-26,16544.56,16707.45,16514.93,16707.45,0
2016-09-27,16683.93,16683.93,16285.41,16390.91,0
2016-09-28,16465.4,16515.84,16385.03,16504.99,0
2016-09-29,16693.71,16756.43,16584.14,16606.3,0
2016-09-30,16449.84,16497.55,16407.78,16474.45,0
2016-10-03,16598.67,16652.16,16554.83,16566.03,0
2016-10-04,16735.65,16747.2,16637.82,16661.51,0
2016-10-05,16819.24,16844.35,16728.19,16787.89,0
2016-10-06,16899.1,16971.28,16888.77,16913.6,0
2016-10-07,16860.09,16895.13,16820.21,16883.12,0
2016-10-11,17024.76,17074.46,16931.12,16936.31,0
2016-10-12,16840,16951.54,16839.41,16850.73,0
2016-10-13,16774.24,16974.25,16739.73,16923.82,0
2016-10-14,16856.37,16866.56,16727.78,16751.04,0
2016-10-17,16900.12,16954.44,16821.49,16871.84,0
2016-10-18,16963.61,16966.9,16844.17,16862.31,0
2016-10-19,16998.91,17016.66,16938.46,16952.91,0
2016-10-20,17235.5,17235.5,16992.14,16999.36,0
